temp_real_C,temp_feels_like_C,humidity,wind_speed_kph,season,weather
3.0,2.0,0.93,6.0,3.0,2.0
3.0,2.5,0.93,5.0,3.0,1.0
2.5,2.5,0.965,0.0,3.0,1.0
2.0,2.0,1.0,0.0,3.0,1.0
2.0,0.0,0.93,6.5,3.0,1.0
2.0,2.0,0.93,4.0,3.0,1.0
1.0,-1.0,1.0,7.0,3.0,2.0
1.0,-1.0,1.0,7.0,3.0,2.0
1.5,-1.0,0.965,8.0,3.0,2.0
2.0,-0.5,1.0,9.0,3.0,2.0
3.0,-0.5,0.93,12.0,3.0,2.0
2.0,-1.5,1.0,12.0,3.0,2.0
2.0,-1.5,0.965,13.0,3.0,2.0
3.0,-0.5,0.87,15.0,3.0,2.0
2.5,0.0,0.9,8.0,3.0,2.0
2.0,-1.5,0.93,11.0,3.0,2.0
3.0,0.0,0.93,12.0,3.0,2.0
3.0,0.0,0.93,11.0,3.0,2.0
3.0,1.5,0.93,6.5,3.0,2.0
3.0,1.0,0.93,7.0,3.0,2.0
3.0,3.0,0.93,4.0,3.0,2.0
3.0,2.5,0.93,5.0,3.0,2.0
3.0,2.0,0.93,6.0,3.0,2.0
4.0,3.5,0.87,5.0,3.0,2.0
4.0,3.0,0.93,6.0,3.0,2.0
4.0,3.5,0.93,5.0,3.0,2.0
5.0,4.0,0.87,6.0,3.0,2.0
6.0,4.5,0.84,7.5,3.0,2.0
6.5,5.0,0.84,8.0,3.0,2.0
6.0,5.5,0.87,5.0,3.0,2.0
7.0,6.5,0.81,5.0,3.0,2.0
7.0,6.0,0.81,6.5,3.0,2.0
8.0,7.5,0.79,5.0,3.0,2.0
8.0,7.0,0.82,6.0,3.0,2.0
9.0,8.0,0.845,6.5,3.0,2.0
9.0,7.5,0.905,10.0,3.0,2.0
10.0,8.0,0.85,11.0,3.0,2.0
10.0,8.5,0.82,10.0,3.0,2.0
10.0,9.0,0.82,9.0,3.0,2.0
10.0,8.5,0.79,10.0,3.0,2.0
10.0,8.5,0.735,13.0,3.0,2.0
9.5,7.5,0.735,12.0,3.0,2.0
9.5,7.5,0.69,14.0,3.0,2.0
9.0,6.5,0.71,14.0,3.0,2.0
9.0,7.0,0.71,14.0,3.0,2.0
9.0,7.0,0.71,11.0,3.0,2.0
9.0,7.5,0.71,10.0,3.0,2.0
8.5,7.5,0.735,8.0,3.0,2.0
8.0,6.5,0.76,8.0,3.0,2.0
8.0,6.5,0.76,8.0,3.0,2.0
8.0,6.0,0.76,11.0,3.0,2.0
8.0,5.5,0.76,14.0,3.0,2.0
8.5,6.5,0.735,11.0,3.0,2.0
8.0,5.5,0.82,14.0,3.0,2.0
8.0,5.0,0.845,15.0,3.0,2.0
9.0,7.0,0.82,13.0,3.0,2.0
9.0,7.0,0.82,12.0,3.0,2.0
9.0,6.5,0.87,16.0,3.0,2.0
10.0,7.5,0.88,19.5,3.0,2.0
10.0,8.0,0.88,18.0,3.0,2.0
11.0,11.0,0.85,19.0,3.0,2.0
9.5,6.0,0.845,27.5,3.0,2.0
9.0,6.0,0.71,26.0,3.0,2.0
8.0,4.5,0.71,23.0,3.0,1.0
8.0,5.0,0.685,19.5,3.0,1.0
7.5,4.0,0.71,22.0,3.0,1.0
7.0,4.0,0.71,17.5,3.0,1.0
6.0,3.0,0.76,15.0,3.0,1.0
5.5,2.5,0.785,15.0,3.0,1.0
5.0,2.0,0.81,15.0,3.0,1.0
4.5,1.5,0.81,13.0,3.0,1.0
4.0,1.0,0.84,12.0,3.0,1.0
4.0,1.0,0.81,12.0,3.0,1.0
4.0,1.0,0.81,11.0,3.0,1.0
4.0,1.5,0.81,10.0,3.0,1.0
3.5,1.0,0.84,9.0,3.0,1.0
4.0,1.5,0.81,10.0,3.0,1.0
4.0,2.0,0.87,9.0,3.0,1.0
5.0,2.5,0.81,10.0,3.0,1.0
5.5,2.5,0.81,13.0,3.0,1.0
6.5,3.5,0.81,15.0,3.0,1.0
8.0,5.0,0.76,19.0,3.0,2.0
8.0,5.0,0.82,19.5,3.0,1.0
9.0,6.0,0.76,21.0,3.0,1.0
9.0,5.5,0.76,27.0,3.0,1.0
9.5,6.0,0.715,28.0,3.0,1.0
10.0,6.5,0.62,28.5,3.0,1.0
9.0,6.0,0.685,25.0,3.0,1.0
9.0,6.0,0.76,25.0,3.0,2.0
9.5,6.5,0.715,24.0,3.0,2.0
10.0,7.0,0.71,30.0,3.0,2.0
10.0,6.5,0.79,30.5,3.0,2.0
10.0,7.0,0.82,27.0,3.0,2.0
10.0,7.0,0.82,27.0,3.0,2.0
10.0,7.0,0.85,24.0,3.0,2.0
11.0,11.0,0.82,26.0,3.0,2.0
11.5,11.5,0.85,24.0,3.0,2.0
12.0,12.0,0.82,25.0,3.0,2.0
12.0,12.0,0.85,22.0,3.0,2.0
12.0,12.0,0.88,20.5,3.0,2.0
12.0,12.0,0.8,20.5,3.0,2.0
11.5,11.5,0.745,17.0,3.0,2.0
10.5,9.5,0.825,17.0,3.0,2.0
9.5,7.5,0.875,14.0,3.0,2.0
9.0,7.0,0.87,13.0,3.0,2.0
9.0,7.0,0.87,14.0,3.0,2.0
9.0,6.0,0.82,20.5,3.0,2.0
9.0,6.5,0.845,17.0,3.0,1.0
9.0,5.5,0.79,27.0,3.0,1.0
10.0,7.0,0.71,22.0,3.0,1.0
9.0,6.0,0.71,22.0,3.0,1.0
9.0,6.0,0.71,19.5,3.0,1.0
9.0,6.0,0.76,22.0,3.0,1.0
8.5,5.5,0.735,22.5,3.0,1.0
8.0,5.0,0.735,20.5,3.0,1.0
8.0,5.0,0.76,17.0,3.0,1.0
8.0,4.5,0.76,20.5,3.0,1.0
8.5,5.5,0.735,21.0,3.0,1.0
9.0,5.5,0.76,27.0,3.0,1.0
10.0,7.0,0.71,28.0,3.0,1.0
10.0,7.0,0.735,30.0,3.0,2.0
10.0,6.5,0.79,29.5,3.0,2.0
11.0,11.0,0.795,29.0,3.0,2.0
11.0,11.0,0.85,33.0,3.0,2.0
11.5,11.5,0.85,33.0,3.0,2.0
12.0,12.0,0.82,32.5,3.0,2.0
12.0,12.0,0.82,31.5,3.0,2.0
12.0,12.0,0.795,25.0,3.0,1.0
12.0,12.0,0.745,30.0,3.0,1.0
12.5,12.5,0.695,29.5,3.0,1.0
13.0,13.0,0.67,28.0,3.0,1.0
13.0,13.0,0.67,26.0,3.0,1.0
13.0,13.0,0.63,30.0,3.0,1.0
13.0,13.0,0.63,26.0,3.0,1.0
13.5,13.5,0.675,33.5,3.0,2.0
13.0,13.0,0.795,37.0,3.0,2.0
13.5,13.5,0.85,35.0,3.0,2.0
15.0,15.0,0.82,36.0,3.0,2.0
15.5,15.5,0.77,41.0,3.0,2.0
15.0,15.0,0.72,44.0,3.0,2.0
15.0,15.0,0.68,41.0,3.0,2.0
15.0,15.0,0.68,40.0,3.0,2.0
14.0,14.0,0.77,41.5,3.0,2.0
14.0,14.0,0.77,39.0,3.0,2.0
14.0,14.0,0.77,40.0,3.0,2.0
14.0,14.0,0.72,40.5,3.0,2.0
13.0,13.0,0.77,41.0,3.0,2.0
13.0,13.0,0.77,36.0,3.0,2.0
13.0,13.0,0.77,35.0,3.0,2.0
13.0,13.0,0.82,35.0,3.0,2.0
13.0,13.0,0.795,35.0,3.0,2.0
14.0,14.0,0.745,40.0,3.0,2.0
14.0,14.0,0.77,48.0,3.0,2.0
14.0,14.0,0.745,41.0,3.0,2.0
11.5,11.5,0.675,42.5,3.0,2.0
11.5,11.5,0.58,41.5,3.0,1.0
10.5,8.5,0.54,38.0,3.0,2.0
9.0,4.5,0.54,42.5,3.0,2.0
9.0,5.0,0.48,35.0,3.0,1.0
8.0,4.0,0.515,27.0,3.0,1.0
8.0,4.0,0.515,29.0,3.0,1.0
7.0,3.0,0.55,26.0,3.0,1.0
6.0,2.0,0.57,26.0,3.0,1.0
6.0,2.0,0.57,25.0,3.0,1.0
6.0,2.0,0.57,21.0,3.0,1.0
5.0,1.0,0.66,20.0,3.0,1.0
5.0,1.0,0.66,19.5,3.0,1.0
4.5,0.5,0.725,22.0,3.0,1.0
4.0,-0.5,0.75,22.0,3.0,1.0
4.0,-0.5,0.75,23.0,3.0,1.0
4.0,-1.0,0.75,27.0,3.0,1.0
4.0,-1.0,0.725,28.0,3.0,1.0
4.0,-1.0,0.7,27.0,3.0,1.0
4.5,0.0,0.68,24.0,3.0,1.0
5.0,1.0,0.66,24.0,3.0,1.0
5.0,0.0,0.66,29.5,3.0,1.0
5.5,0.5,0.635,29.0,3.0,1.0
6.5,2.0,0.61,30.0,3.0,1.0
7.5,3.5,0.59,27.0,3.0,1.0
8.5,4.5,0.555,27.0,3.0,1.0
9.0,5.0,0.56,28.0,3.0,1.0
9.0,5.0,0.6,28.0,3.0,1.0
8.5,5.0,0.64,26.0,3.0,2.0
8.0,4.5,0.66,23.0,3.0,2.0
8.0,5.0,0.71,20.5,3.0,2.0
8.0,4.0,0.735,25.0,3.0,2.0
8.0,4.0,0.735,24.0,3.0,2.0
8.0,4.5,0.71,26.0,3.0,2.0
8.0,4.0,0.71,30.0,3.0,2.0
9.0,5.0,0.66,37.0,3.0,2.0
9.0,5.0,0.71,30.5,3.0,2.0
9.0,5.0,0.685,29.0,3.0,1.0
10.0,6.0,0.6,34.0,3.0,2.0
10.0,7.0,0.645,30.0,3.0,2.0
10.0,6.5,0.67,30.5,3.0,2.0
10.0,6.5,0.67,33.5,3.0,2.0
10.0,6.0,0.67,35.0,3.0,2.0
10.0,6.0,0.735,31.0,3.0,2.0
10.0,7.0,0.76,30.0,3.0,2.0
10.0,6.0,0.76,31.0,3.0,2.0
11.5,11.5,0.67,32.5,3.0,2.0
12.0,12.0,0.67,33.0,3.0,2.0
12.0,12.0,0.745,39.0,3.0,2.0
12.0,12.0,0.795,29.5,3.0,2.0
12.0,12.0,0.795,29.5,3.0,2.0
12.5,12.5,0.77,33.0,3.0,2.0
12.0,12.0,0.82,25.0,3.0,2.0
12.0,12.0,0.82,22.5,3.0,2.0
11.5,11.5,0.88,22.0,3.0,2.0
11.0,11.0,0.94,22.0,3.0,2.0
11.5,11.5,0.85,22.0,3.0,2.0
12.0,12.0,0.82,20.0,3.0,2.0
12.0,12.0,0.85,18.5,3.0,2.0
